eef,marker
"0.58748, -0.0039158, 0.94275, -0.01875, 0.47057, 0.010188, 0.88211","-0.19822100705720988,0.05903406097535054,0.538838699508618,0.9885803778379859,0.009992213499961503,-0.14775189454433119,-0.027899281023655506"
"0.88091, -0.049845, 1.0042, -0.16133, 0.68479, 0.1781, 0.68798","-0.19822100705720988,0.05903406097535054,0.538838699508618,0.9885803778379859,0.009992213499961503,-0.14775189454433119,-0.027899281023655506"
"0.84503, -0.022563, 1.0223, -0.44811, 0.48888, 0.51326, 0.54476","-0.1981753167238603,0.1344271301314481,0.5402915508469248,0.9881618055796838,0.009853832950851682,-0.14823894732693813,-0.038266989234552094"
"0.7251, 0.12621, 0.96488, 0.72262, -0.31539, -0.56423, -0.24495","-0.08335004200449439,0.13482379013660445,0.5185178124872266,0.9815734192991845,0.008099088402849269,-0.18768332620261713,-0.034971364827127926"
"0.78384, 0.041238, 0.97132, -0.39081, 0.5823, 0.30187, 0.64581","-0.0828650109053893,0.06511352229681087,0.518754226921736,0.9814354722095083,0.0078242573456195,-0.1883225771187423,-0.03546550201596012"
"0.89306, -0.2344, 0.9503, 0.11254, 0.68182, 0.14983, 0.70711","-0.015182842155533227,0.06476632526858966,0.5055849995777842,0.9790257787620034,0.007444043791954324,-0.19860703095300394,-0.04481470726791282"
"1.0921, -0.19666, 0.8883, 0.2349, 0.83125, -0.13266, 0.48606","-0.013295003264126831,0.09441299691456256,0.492549285146469,0.9776267774274887,0.011410863938604727,-0.20847981310989278,-0.025531231199892198"
"0.99412, 0.14068, 0.94634, 0.26166, 0.5185, -0.5905, 0.56036","-0.07742651455928809,0.13001902034424467,0.5066700872035967,0.9803209965533565,0.011287189460085013,-0.19539113364578653,-0.02580015432784395"
"0.87685, 0.24428, 0.93356, 0.43891, 0.26214, -0.61692, 0.59837","-0.2253711331351606,0.1296028954861059,0.5613668280922366,0.9868909606530528,0.012644532964394216,-0.1581892831240889,-0.02936832089333191"
"0.89676, -0.063375, 0.96281, -0.51544, -0.49318, 0.52243, -0.46708","-0.16839226413310396,0.1258983420472827,0.5092006746955112,0.9922781494257175,0.016123978123928257,-0.12026947755916846,0.02567769984592434"
"1.1424, -0.20442, 0.9101, 0.31006, 0.80237, -0.28537, 0.42263","-0.1106066246492663,0.10206595857215611,0.4899484733905542,0.9927176896806905,0.016081323919989288,-0.11550232194785291,0.030202536990578736"
"0.91779, 0.19935, 0.91246, -0.37636, -0.33466, 0.71846, -0.47976","-0.1370526030990799,0.06653387759894874,0.4976399431206916,0.9923778170800723,0.016201855128848013,-0.11744835437659694,0.033610297707748434"
"0.70941, 0.22351, 0.9816, 0.11838, 0.50052, -0.27425, 0.81256","-0.05897149128765261,0.066494732287907,0.4780538858933961,0.9932918216290347,0.015769704016602975,-0.11176818350211273,0.025110688495952663"
"0.67214, -0.13227, 0.99744, -0.1761, 0.54353, 0.24323, 0.78384","-0.012876602625495379,0.06681879227039517,0.438283881495099,0.9956884132192617,0.011602562769100584,-0.09159917966597558,-0.008919338687270356"
"0.94742, 0.16055, 0.99725, -0.37902, 0.72494, 0.22189, 0.53063","-0.015840227973363416,0.12537225912302638,0.41784093080085766,0.9994554217105611,0.017511764294801644,-0.024868202234507128,0.012797290426943627"
